Row,,,,Notes,,,
1,Report Date,2024-01-15,,,,,
2,Generated By,Lab System v2.1,,,,,
3,,,,,,,
4,,,,,,,
5,Lab,Sample ID,Test Type,Result,Units,Technician,Comments
6,,SAMP-001,pH,7.0,pH,A. Jones,slight deviation
7,,SAMP-001,Turbidity,2.9,NTU,,high reading
8,,SAMP-002,Conductivity,428,µS/cm,M. Chen,low reading
9,,SAMP-002,Turbidity,2.1,NTU,,elevated
10,,SAMP-003,pH,6.6,pH,M. Chen,within spec
11,,SAMP-003,Conductivity,494,µS/cm,A. Jones,within spec
12,,,,,,,
13,,SAMP-004,pH,6.9,pH,A. Jones,retest needed
14,,SAMP-004,Conductivity,438,µS/cm,A. Jones,
15,,,,,,,
16,,SAMP-005,pH,7.4,pH,,slight deviation
17,,SAMP-005,Conductivity,505,µS/cm,,within spec
18,,SAMP-005,Turbidity,1.7,NTU,,slight deviation
19,,SAMP-006,Turbidity,1.7,NTU,,within spec
20,,SAMP-006,Conductivity,519,µS/cm,M. Chen,slight deviation
21,,SAMP-007,Conductivity,510,µS/cm,,retest needed
22,,SAMP-007,pH,6.9,pH,,high reading
23,,SAMP-007,Turbidity,1.8,NTU,,
24,,SAMP-008,Conductivity,500,µS/cm,M. Chen,
25,,SAMP-008,Turbidity,1.7,NTU,J. Smith,low reading
26,,SAMP-008,pH,7.1,pH,J. Smith,low reading
27,,,,,,,
28,,,,End of Report,,,
29,,,,Approved: Dr. Wilson,,,
