region_code,quarter,sales_amount,units_sold,returns,avg_order_value
REG-NORTH,Q1-2024,198920.33,2231,43,110.99
REG-NORTH,Q2-2024,104287.25,1211,15,130.47
REG-NORTH,Q3-2024,148846.02,1600,88,84.65
REG-NORTH,Q4-2024,170352.96,1985,30,58.86
REG-SOUTH,Q1-2024,158788.18,1772,74,138.82
REG-SOUTH,Q2-2024,234914.61,2456,40,128.93
REG-SOUTH,Q3-2024,172883.87,2045,76,116.83
REG-SOUTH,Q4-2024,110451.74,1186,61,67.98
REG-EAST,Q1-2024,285186.63,2426,40,127.32
REG-EAST,Q2-2024,140237.05,1737,56,90.64
REG-EAST,Q3-2024,236641.15,2232,68,138.56
REG-EAST,Q4-2024,246287.06,2104,93,129.67
REG-MIDWEST,Q1-2024,186400.45,1597,97,122.58
REG-MIDWEST,Q2-2024,124970.94,1071,16,119.91
REG-MIDWEST,Q3-2024,204142.06,2247,88,75.53
REG-MIDWEST,Q4-2024,267799.18,3073,40,115.99
